Organism	Pathway Name	#Reactions	Evidence
GCF_000014005	PWY-5695	4	EV-COMP-AINF
GCF_000014005	PWY-8130	3	EV-COMP-AINF
GCF_000014005	PWY-7193	3	EV-COMP-AINF
GCF_000014005	PWY-5766	1	EV-COMP-AINF
GCF_000014005	PWY-8159	4	EV-COMP-AINF
GCF_000014005	PWY-7200	9	EV-COMP-AINF
GCF_000014005	1CMET2-PWY	9	EV-COMP-AINF
GCF_000014005	PWY-6683	3	EV-COMP-AINF
GCF_000014005	PWY-6164	2	EV-COMP-AINF
GCF_000014005	NAGLIPASYN-PWY	6	EV-COMP-AINF
GCF_000014005	PWY0-381	5	EV-COMP-AINF
GCF_000014005	DAPLYSINESYN-PWY	9	EV-COMP-AINF
GCF_000014005	CITRULLINE-DEG-PWY	3	EV-COMP-AINF
GCF_000014005	PWY-5194	4	EV-COMP-AINF
GCF_000014005	PWY-4984	5	EV-COMP-AINF
GCF_000014005	COA-PWY	4	EV-COMP-AINF
GCF_000014005	PWY-4202	6	EV-COMP-AINF
GCF_000014005	PWY-7219	3	EV-COMP-AINF
GCF_000014005	PPGPPMET-PWY	6	EV-COMP-AINF
GCF_000014005	PWY-8168	1	EV-COMP-AINF
GCF_000014005	ARGININE-SYN4-PWY	4	EV-COMP-AINF
GCF_000014005	PWY-5104	6	EV-COMP-AINF
GCF_000014005	PWY-2161	5	EV-COMP-AINF
GCF_000014005	PWY0-1334	2	EV-COMP-AINF
GCF_000014005	SALVPURINE2-PWY	2	EV-COMP-AINF
GCF_000014005	PWY-2661	3	EV-COMP-AINF
GCF_000014005	PWY-5971	31	EV-COMP-AINF
GCF_000014005	PWY-40	2	EV-COMP-AINF
GCF_000014005	PWY0-1299	1	EV-COMP-AINF
GCF_000014005	PWY-6895	11	EV-COMP-AINF
GCF_000014005	GLUCONSUPER-PWY	1	EV-COMP-AINF
GCF_000014005	PWY-5046	3	EV-COMP-AINF
GCF_000014005	PWY-8148	1	EV-COMP-AINF
GCF_000014005	PWY0-662	1	EV-COMP-AINF
GCF_000014005	PWY-6932	5	EV-COMP-AINF
GCF_000014005	PWY-5084	3	EV-COMP-AINF
GCF_000014005	PWY-6938-1	4	EV-COMP-AINF
GCF_000014005	PWY0-1261	12	EV-COMP-AINF
GCF_000014005	PWY-6756	1	EV-COMP-AINF
GCF_000014005	GLYCOGENSYNTH-PWY	4	EV-COMP-AINF
GCF_000014005	BRANCHED-CHAIN-AA-SYN-PWY	17	EV-COMP-AINF
GCF_000014005	PWY-66	3	EV-COMP-AINF
GCF_000014005	ARO-PWY	7	EV-COMP-AINF
GCF_000014005	PWY-7176	3	EV-COMP-AINF
GCF_000014005	PWY-7206	3	EV-COMP-AINF
GCF_000014005	PWY0-1586	12	EV-COMP-AINF
GCF_000014005	PWY-7344	1	EV-COMP-AINF
GCF_000014005	GLYCLEAV-PWY	3	EV-COMP-AINF
GCF_000014005	PWY-5651	5	EV-COMP-AINF
GCF_000014005	PWY-5844	1	EV-COMP-AINF
GCF_000014005	PWY-6834	4	EV-COMP-AINF
GCF_000014005	VALSYN-PWY	4	EV-COMP-AINF
GCF_000014005	GLUTSYN-PWY	2	EV-COMP-AINF
GCF_000014005	PWY0-1021	1	EV-COMP-AINF
GCF_000014005	HISTSYN-PWY	10	EV-COMP-AINF
GCF_000014005	PWY-6124	5	EV-COMP-AINF
GCF_000014005	PWY0-1335	2	EV-COMP-AINF
GCF_000014005	BSUBPOLYAMSYN-PWY	2	EV-COMP-AINF
GCF_000014005	PWY-7180	3	EV-COMP-AINF
GCF_000014005	PWY-6644	6	EV-COMP-AINF
GCF_000014005	PWY-5669	2	EV-COMP-AINF
GCF_000014005	PWY-8131	4	EV-COMP-AINF
GCF_000014005	PWY-7250	10	EV-COMP-AINF
GCF_000014005	ARABCAT-PWY	3	EV-COMP-AINF
GCF_000014005	PWY0-1313	1	EV-COMP-AINF
GCF_000014005	AMMASSIM-PWY	3	EV-COMP-AINF
GCF_000014005	PYRIDNUCSYN-PWY	6	EV-COMP-AINF
GCF_000014005	PWY-6717	2	EV-COMP-AINF
GCF_000014005	HOMOSERSYN-PWY	3	EV-COMP-AINF
GCF_000014005	PWY-4381	3	EV-COMP-AINF
GCF_000014005	PWY0-1297	7	EV-COMP-AINF
GCF_000014005	NONMEVIPP-PWY	9	EV-COMP-AINF
GCF_000014005	PWY-7205	2	EV-COMP-AINF
GCF_000014005	PWY-6613	2	EV-COMP-AINF
GCF_000014005	PWY-6893	2	EV-COMP-AINF
GCF_000014005	TCA-GLYOX-BYPASS	16	EV-COMP-AINF
GCF_000014005	PWY-7224	6	EV-COMP-AINF
GCF_000014005	PWY-5785	2	EV-COMP-AINF
GCF_000014005	TRPSYN-PWY	6	EV-COMP-AINF
GCF_000014005	UDPNAGSYN-PWY	5	EV-COMP-AINF
GCF_000014005	PWY-4621	2	EV-COMP-AINF
GCF_000014005	PWY-1801	3	EV-COMP-AINF
GCF_000014005	XYLCAT-PWY	2	EV-COMP-AINF
GCF_000014005	PWY-8072	1	EV-COMP-AINF
GCF_000014005	PWY-8136	4	EV-COMP-AINF
GCF_000014005	PWY-7892	11	EV-COMP-AINF
GCF_000014005	PWY-5964	1	EV-COMP-AINF
GCF_000014005	PWY-6614	3	EV-COMP-AINF
GCF_000014005	PWY-7227	2	EV-COMP-AINF
GCF_000014005	PWY-7791	6	EV-COMP-AINF
GCF_000014005	NONOXIPENT-PWY	5	EV-COMP-AINF
GCF_000014005	GLYOXYLATE-BYPASS	6	EV-COMP-AINF
