TAX-3888,TAX-3847,TAX-3880,TAX-1063,TAX-1061,TAX-287,TAX-4577,TAX-4081,TAX-9606,TAX-3708,TAX-3562,TAX-382,TAX-1488,TAX-4932,TAX-548,TAX-1718,TAX-4513,TAX-4530,TAX-4565,TAX-573,TAX-4097,TAX-4113,TAX-1423,TAX-294,TAX-1773,TAX-1148,TAX-303,TAX-2336,TAX-9913,TAX-2287,TAX-3055,TAX-1097,TAX-2190,TAX-1280,TAX-358,TAX-4058,TAX-3702,TAX-3988,TAX-1772
0.32818928,0.28376734,0.41152263,0.51836497,0.40140843,0.29100335,0.47423622,0.31756446,0.12443687,0.3616726,0.16858238,0.33928573,0.5174292,0.2281484,0.29293862,0.44534412,0.27405104,0.33190885,0.16381116,0.26443833,0.16080931,0.45894197,0.35233942,0.34676242,0.13775665,0.2021041,0.27811387,0.37558684,0.14769901,0.29562694,0.22224323,0.2645881,0.12966512,0.5502201,0.31517094,0.22044322,0.50263363,0.52316886,0.39288363
0.21810699,0.2081615,0.5144033,0.0,0.0,0.25432226,0.19759843,0.17727774,0.0006030866,0.34680936,0.25862068,0.0,0.0,0.0052207876,0.0,0.0,0.5153796,0.13390315,0.33836403,0.634652,0.3084615,0.23029347,0.22354694,0.22331949,0.37741545,0.37375417,0.26803118,0.0,0.35499588,0.6024096,0.4823151,0.0,0.37584093,0.0,0.6570513,0.37417334,0.14292137,0.0,0.0
0.22325106,0.20816152,0.0,0.0,0.9154929,0.02567677,0.22951818,0.1835592,0.00023453368,0.0,0.22605364,0.845238,0.84422666,0.0009136376,0.74776447,0.94129556,0.0,0.008547009,0.30882436,0.0,0.23244254,0.2500329,0.19134882,0.1571092,0.27740037,0.26024362,0.016804466,0.8802816,0.26430345,0.0,0.43502936,0.81521744,0.25557184,1.0204083,0.0,0.2697529,0.19912644,0.0,1.02298
0.03395061,0.009818938,0.3012933,0.8886256,0.0,0.0012227029,0.04255966,0.0069794403,0.00016752405,0.40130803,0.27586207,0.0,0.0,0.00013051971,0.0,0.0,0.40903142,0.00071225077,0.2739137,0.43367893,0.2602187,0.021384394,0.031278174,0.0033666252,0.21890095,0.25470656,0.002520669,0.0,0.21247931,0.53547513,0.0,0.0,0.1634908,0.0,0.47542736,0.33356538,0.011241006,0.8669654,0.0
0.009259261,0.0009818937,0.0,0.0,0.0,0.0024454058,0.010639915,0.007677382,0.00020102886,0.0,0.040229887,0.35714275,0.0,0.00026103924,0.5473328,0.0,0.28223163,0.00071225077,0.045652285,0.0,0.033623762,0.0016449533,0.009199465,0.0011222088,0.028306164,0.06367664,0.0016804466,0.0,0.025912099,0.0,0.24588612,0.5506294,0.04885932,0.0,0.0,0.0,0.0112410085,0.0,0.0
0.0030864202,0.0039275764,0.4997061,0.0,0.5211266,0.0006113518,0.0030399757,0.0013958871,3.3504817e-05,0.5202141,0.011494253,0.0,0.78976053,0.00013051968,0.0,0.58704454,0.0,0.0,0.0080562895,0.3067485,0.005847611,0.0016449533,0.0018398921,0.0033666252,0.020757848,0.0083056465,0.0016804466,0.6690139,0.0077736317,0.34024993,0.023642903,0.0,0.02442966,0.65026027,0.36324787,0.040607974,0.0064234333,0.0,0.4744255
0.0030864202,0.0,0.0,0.6960899,0.0,0.0012227029,0.0,0.0006979443,3.35048e-05,0.02972652,0.0,0.42261925,0.0,0.00013051968,0.4933703,0.0,0.04499345,0.0007122504,0.0,0.047598906,0.0014619027,0.0016449533,0.0027598394,0.0033666252,0.0037741542,0.0,0.0008402228,0.0,0.0025912118,0.0,0.0,0.3432494,0.0018792046,0.0,0.0,0.0029005678,0.0032117153,0.95665187,0.0
0.002057612,0.0009818937,0.066137545,0.0,0.45774636,0.0012227029,0.0015199878,0.0020938315,3.3504817e-05,0.0,0.0019157088,0.0,0.0,0.0,0.0,0.4352228,0.004090315,0.0,0.0,0.0,0.0014619027,0.0016449533,0.0,0.0,0.0037741542,0.0027685503,0.0008402233,0.4342722,0.005182421,0.03346719,0.023642903,0.0,0.0037584093,0.0,0.048076946,0.005801139,0.0,0.0,0.55596757
0.0010288068,0.0009818937,0.0,0.0,0.0,0.0,0.0030399743,0.00069794385,0.0,0.00990884,0.0019157088,0.047619022,0.6263618,0.0,0.053962406,0.0,0.0,0.0,0.00268543,0.0,0.0014619034,0.0,0.0009199468,0.0,0.0037741563,0.0055370973,0.0,0.0,0.0,0.0,0.009457162,0.10011446,0.0075168223,0.48019218,0.0,0.0058011357,0.0032117167,0.0,0.0
0.0010288068,0.0,0.014697238,0.75533193,0.0,0.00061135116,0.003039977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004090315,0.00071225077,0.002685427,0.0,0.0,0.0016449541,0.0,0.0022444183,0.0,0.0,0.0008402233,0.0,0.0025912104,0.0055778674,0.0,0.0,0.0,0.0,0.016025642,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.11267603,0.0,0.0015199871,0.0,0.0,0.01981768,0.0,0.017857142,0.0,0.00013051974,0.0,0.15182191,0.004090315,0.0,0.0,0.005288767,0.0014619034,0.0,0.00091994606,0.0011222084,0.0018870771,0.0,0.0,0.0821596,0.0025912104,0.0,0.009457162,0.042906176,0.0,0.0,0.0,0.0,0.0016058583,0.74738425,0.10378061
0.0,0.0,0.0,0.0,0.0,0.0,0.003039977,0.0,0.0,0.0,0.0,0.0,0.054466244,0.0,0.0,0.0,0.0,0.00071225077,0.0,0.0,0.0,0.0,0.0,0.0,0.0056612315,0.0027685487,0.0,0.0,0.0025912104,0.0,0.0,0.0,0.0,0.14005606,0.0053418805,0.005801139,0.0,0.0,0.0
